Model,Type,Term,N_Tokens,Subwords,Has_UNK
bge-base,general,Anterograde,3,ant | ##ero | ##grade,False
bge-base,general,Antifungal,4,anti | ##fu | ##nga | ##l,False
bge-base,general,Armorhead,2,armor | ##head,False
bge-base,general,Banner,1,banner,False
bge-base,general,Boiron,3,bo | ##iro | ##n,False
bge-base,general,Bulrush,3,bu | ##lr | ##ush,False
bge-base,general,Calyptospora,5,cal | ##yp | ##tos | ##por | ##a,False
bge-base,general,Circinella,4,ci | ##rc | ##ine | ##lla,False
bge-base,general,Clupeotoxin,5,cl | ##up | ##eo | ##to | ##xin,False
bge-base,general,Colourful,1,colourful,False
bge-base,general,Corpus,1,corpus,False
bge-base,general,Cryptotomus,3,crypt | ##oto | ##mus,False
bge-base,general,Cyclamate,4,cy | ##cl | ##ama | ##te,False
bge-base,general,Epicauta,3,epic | ##au | ##ta,False
bge-base,general,Ethylnorgestrienone,7,et | ##hyl | ##nor | ##ges | ##tri | ##eno | ##ne,False
bge-base,general,Fibromuscular,4,fi | ##bro | ##mus | ##cular,False
bge-base,general,Framboesiform,4,fra | ##mbo | ##es | ##iform,False
bge-base,general,Glaucomatocyclitic,7,g | ##lau | ##com | ##ato | ##cy | ##cl | ##itic,False
bge-base,general,Haemoglobin,5,ha | ##em | ##og | ##lo | ##bin,False
bge-base,general,Healed,1,healed,False
bge-base,general,Hidradenitis,4,hid | ##rade | ##ni | ##tis,False
bge-base,general,Hyperactivity,3,hyper | ##act | ##ivity,False
bge-base,general,Immunofluorescence,5,im | ##mun | ##of | ##lu | ##orescence,False
bge-base,general,Intermediary,3,inter | ##media | ##ry,False
bge-base,general,Irrelevant,1,irrelevant,False
bge-base,general,Ketosteroids,4,ke | ##tos | ##ter | ##oids,False
bge-base,general,Laughter,1,laughter,False
bge-base,general,Lissemys,4,li | ##sse | ##my | ##s,False
bge-base,general,Loxosceles,5,lo | ##x | ##os | ##cel | ##es,False
bge-base,general,Lycopersicon,5,l | ##y | ##cope | ##rs | ##icon,False
bge-base,general,Malaise,2,mala | ##ise,False
bge-base,general,Microrepair,4,micro | ##re | ##pa | ##ir,False
bge-base,general,Migratory,1,migratory,False
bge-base,general,Millipede,3,mill | ##ipe | ##de,False
bge-base,general,Mycitracin,4,my | ##cit | ##rac | ##in,False
bge-base,general,Myers,1,myers,False
bge-base,general,Notch,1,notch,False
bge-base,general,Notched,2,notch | ##ed,False
bge-base,general,Oligohidrosis,4,ol | ##igo | ##hid | ##rosis,False
bge-base,general,Paraduodenal,4,para | ##du | ##ode | ##nal,False
bge-base,general,Phosmet,3,ph | ##os | ##met,False
bge-base,general,Photogenic,2,photo | ##genic,False
bge-base,general,Pneumopyopericardium,9,p | ##ne | ##um | ##op | ##yo | ##per | ##ica | ##rdi | ##um,False
bge-base,general,Prague,1,prague,False
bge-base,general,Repeat,1,repeat,False
bge-base,general,Robin,1,robin,False
bge-base,general,Rowley,2,row | ##ley,False
bge-base,general,Rumination,2,rum | ##ination,False
bge-base,general,Sciaenops,4,sci | ##ae | ##no | ##ps,False
bge-base,general,Simultaneous,1,simultaneous,False
bge-base,general,Solandra,2,sol | ##andra,False
bge-base,general,Tamarao,2,tamara | ##o,False
bge-base,general,Theatrical,1,theatrical,False
bge-base,general,Thromboembolus,6,th | ##rom | ##bo | ##em | ##bol | ##us,False
bge-base,general,Trinitrotoluene,6,tri | ##ni | ##tro | ##to | ##lu | ##ene,False
bge-base,general,Underexerted,3,under | ##ex | ##erted,False
bge-base,general,Ventriculopleural,5,vent | ##ric | ##ulo | ##ple | ##ural,False
Snowflake-M,general,Actinobacillus,5,act | ##ino | ##ba | ##ci | ##llus,False
Snowflake-M,general,Adenine,2,aden | ##ine,False
Snowflake-M,general,Anisomelia,4,an | ##iso | ##mel | ##ia,False
Snowflake-M,general,Anterograde,3,ant | ##ero | ##grade,False
Snowflake-M,general,Antifungal,4,anti | ##fu | ##nga | ##l,False
Snowflake-M,general,Armorhead,2,armor | ##head,False
Snowflake-M,general,Banner,1,banner,False
Snowflake-M,general,Boiron,3,bo | ##iro | ##n,False
Snowflake-M,general,Bulrush,3,bu | ##lr | ##ush,False
Snowflake-M,general,Calyptospora,5,cal | ##yp | ##tos | ##por | ##a,False
Snowflake-M,general,Circinella,4,ci | ##rc | ##ine | ##lla,False
Snowflake-M,general,Clupeotoxin,5,cl | ##up | ##eo | ##to | ##xin,False
Snowflake-M,general,Colourful,1,colourful,False
